fecha,bar,cierre,dentro_banda_95,sigma_emitida,error_vol_%,cobertura_rodante_90d,error_vol_medio_90d,error_vol_abs_90d,regimen_actual,regimen_cambio,ks_drift_pvalue,banda_lo_95,banda_hi_95,sigma_hoy,banda_lo_95_hoy,banda_hi_95_hoy,mz_b,train_window,sigma_har_crudo,piso_activo,b_d,riesgo_nivel,riesgo_capas,riesgo_shock,model_version,fuente
2026-08-14,,62983.61,,,,,,,estable(195d),False,0.0,,,0.014201,61281.81,64782.06,,,,,,,,,,CryptoCompare
2026-08-15,,63026.52,1.0,0.014201,-81.4,100.0,-81.4,81.4,estable(195d),False,0.0,61281.81,64782.06,0.0115,61642.35,64564.95,,,,,,,,,,CryptoCompare
2026-08-16,,62838.49,1.0,0.0115,-44.5,100.0,-63.0,63.0,estable(195d),False,0.0,61642.35,64564.95,0.012037,61092.04,64443.08,,,,,,,,,,CryptoCompare
2026-08-17,,64484.37,0.0,0.012037,46.8,66.7,-26.4,57.6,estable(200d),False,0.0,61092.04,64443.08,0.015096,62638.55,66520.37,,,,,,,,,,CryptoCompare
2026-08-18,,64686.57,1.0,0.015096,-37.0,75.0,-29.0,52.4,estable(200d),False,0.0,62638.55,66520.37,0.012999,63071.8,66425.76,,,,,,,,,,CryptoCompare
2026-08-19,,69299.42,0.0,0.012999,306.8,60.0,38.1,103.3,estable(200d),False,0.0,63071.8,66425.76,0.025971,65386.83,73192.47,,,,,,,,,,CryptoCompare
2026-08-20,,73009.6,1.0,0.025971,46.9,66.7,39.6,93.9,estable(200d),False,0.0,65386.83,73192.47,0.025039,69674.85,76971.41,,,,,,,,,,CryptoCompare
2026-08-21,,78329.69,0.0,0.025039,103.6,57.1,48.7,95.3,estable(200d),False,0.0,69674.85,76971.41,0.034852,73307.54,84855.44,1.0374,750.0,0.031571,True,0.2792,ninguno,0.0,2.04,HAR-RV-1.6,CryptoCompare
2026-08-22,1d,77067.42,1.0,0.034852,-49.4,62.5,36.5,89.5,estable(205d),False,0.0,73307.54,84855.44,0.042393,71099.48,84963.62,1.0073,750.0,0.022097,True,0.2741,ninguno,0.0,0.51,HAR-RV-1.7-1d,CryptoCompare
2026-08-22,1d,77067.42,,,,62.5,36.5,89.5,estable(205d),False,0.0,71099.48,84963.62,0.042393,71099.48,84963.62,1.0073,750.0,0.022097,True,0.2741,ninguno,0.0,0.42,HAR-RV-2.4-1d,cache local
2026-08-22,1d,77067.42,,,,62.5,36.5,89.5,estable(205d),False,0.0,71099.48,84963.62,0.042393,71099.48,84963.62,1.0073,750.0,0.022097,True,0.2741,ninguno,0.0,0.42,HAR-RV-2.6-1d,cache local
2026-08-25,1d,78509.4,,,,62.5,36.5,89.5,estable(85d),False,0.0094,71099.48,84963.62,0.02472,72795.74,83176.54,0.9667,698.0,0.023324,True,0.281,ninguno,0.0,1.02,HAR-RV-3.3-1d,Kraken (1d)
2026-08-26,1d,79008.6,1.0,0.02472,-50.7,66.7,26.8,85.2,estable(85d),False,0.0094,72795.74,83176.54,0.024593,75420.09,83687.29,0.9661,698.0,0.017807,True,0.2825,ninguno,0.0,0.49,HAR-RV-3.4-1d,Kraken (1d)
2026-08-27,1d,80265.9,1.0,0.024593,-30.8,70.0,21.0,79.8,estable(85d),False,0.0094,75420.09,83687.29,0.018412,77083.85,83801.77,0.9713,698.0,0.019023,False,0.2817,ninguno,0.0,0.69,HAR-RV-3.4-1d,Kraken (1d)
2026-08-28,1d,77841.8,1.0,0.018412,89.9,72.7,27.3,80.7,estable(86d),False,0.0098,77083.85,83801.77,0.024211,72288.5,82948.12,0.9719,699.0,0.02498,False,0.2811,ninguno,0.0,1.9,HAR-RV-4.1-1d,Kraken (1d)
2026-08-29,1d,78227.8,1.0,0.024211,-70.2,75.0,19.2,79.8,estable(87d),False,0.0156,72288.5,82948.12,0.025621,74546.88,83055.2,0.9696,700.0,0.016346,True,0.2782,ninguno,0.0,0.3,HAR-RV-4.1-1d,Kraken (1d)
2026-08-30,1d,77681.6,1.0,0.025621,-28.9,76.9,15.5,75.9,estable(88d),False,0.0066,74546.88,83055.2,0.018595,74109.72,81131.5,0.9696,701.0,0.019181,False,0.2779,ninguno,0.0,0.71,HAR-RV-4.1-1d,Kraken (1d)
2026-08-31,1d,78566.1,1.0,0.018595,-17.6,78.6,13.1,71.8,estable(210d),False,0.0,74109.72,81131.5,0.018051,75104.87,82016.5,0.996,750.0,0.018618,False,0.2667,ninguno,0.0,0.82,HAR-RV-4.1-1d,Kraken (1d)
